,OR,P
SAUSA300_1657,0.995899588161309,0.000248919689668452
SAUSA300_1695,0.991472539025249,8.18893800057411e-06
SAUSA300_1754,0.999173424322574,0.00155062965424749
SAUSA300_1828,0.998585331329798,0.0015469268966153
SAUSA300_1831,0.999004586114832,0.0693381960409006
SAUSA300_1988,0.998746988546591,1.21360623297222e-06
SAUSA300_2079,0.9974213851037,2.44102412072462e-05
SAUSA300_2081,0.988338858220929,0.000183352677841227
SAUSA300_2172,0.998302910072133,8.90954774309382e-10
SAUSA300_2177,0.99751785023331,0.000983014439155628
SAUSA300_2179,0.998499014615336,2.36723877441462e-05
SAUSA300_2185,0.998806207646657,0.000819759970277359
SAUSA300_2187,0.99836263369225,1.54404401138377e-05
SAUSA300_2191,0.999607854276383,0.000876769348578125
SAUSA300_2192,0.997133761580558,8.51749092089837e-15
SAUSA300_2194,0.998746330354531,3.29398001969612e-05
SAUSA300_2200,0.998925758232191,0.000367926242605352
SAUSA300_2204,0.997988904467784,2.26797014951667e-08
SAUSA300_2302,0.992442641168343,5.2245882702937e-07
SAUSA300_2406,0.995977904537656,0.00054515819351618
SAUSA300_2504,0.992510952194937,0.000276885557098126
SAUSA300_2506,0.999262363122254,9.99748931313443e-06
SAUSA300_2541,0.995127264817637,0.000406854405216484
SAUSA300_2551,0.996631363154837,8.19710851803326e-06
SAUSA300_0021,0.982262537046184,0.000215979398383194
SAUSA300_0028,0.99573999993458,0.00413453262145311
SAUSA300_0078,0.989585077836044,0.0109871818750878
SAUSA300_0235,0.998257976901875,0.137132044462666
SAUSA300_0252,0.988949781547477,8.93877915839106e-06
SAUSA300_0387,0.98760799802103,0.003546838959016
SAUSA300_0388,0.992011719245105,0.0105688580187206
SAUSA300_0426,0.992148911908578,3.10164468916616e-05
SAUSA300_0481,0.975143565858895,0.000659721926297292
SAUSA300_0490,0.99500902788632,0.00192397758984009
SAUSA300_0500,0.998993441580666,3.02440076681977e-06
SAUSA300_0509,0.984623635602468,0.000732948462710652
SAUSA300_0510,0.98569505694977,0.0436741635252061
SAUSA300_0511,0.985776462135885,0.00234610929814605
SAUSA300_0513,0.986017025576317,0.000434338715372074
SAUSA300_0515,0.98541288059054,7.44460621817743e-07
SAUSA300_0524,0.998481937404904,4.34757798414196e-07
SAUSA300_0618,0.99609175111665,1.3132239204388e-10
SAUSA300_0620,0.995878703237486,8.44958765325368e-05
SAUSA300_0648,0.988016898478337,0.0200866582678086
SAUSA300_0690,0.997516641538325,1.93576070301576e-05
SAUSA300_0691,0.998077275101928,8.93561949736884e-07
SAUSA300_0693,0.998205284669813,6.98824567981228e-05
SAUSA300_0737,0.995170162202124,0.00027995945105353
SAUSA300_0772,0.988782902399504,3.56993147116956e-06
SAUSA300_0777,0.999278137906949,8.90913976766796e-11
SAUSA300_0814,0.994770889364231,0.000109009402705139
SAUSA300_0835,0.993792148100744,8.22104834445082e-08
SAUSA300_0841,0.985245272488091,0.000539237859291392
SAUSA300_0922,0.995931221752195,0.226897969900664
SAUSA300_0932,0.996174187465832,0.00232278493457281
SAUSA300_0946,0.989288706580794,3.85690822937526e-05
SAUSA300_0947,0.992370215875251,1.4448845456464e-07
SAUSA300_0980,0.992149959144974,1.40975390371342e-07
SAUSA300_0986,0.995422299505417,2.41085931069866e-05
SAUSA300_0993,0.997548481380176,4.89549421128867e-05
SAUSA300_1050,0.995480320435357,0.00936998697740168
SAUSA300_1073,0.995036760859572,8.09792401729827e-06
SAUSA300_1075,0.991423021022575,2.10386246250509e-08
SAUSA300_1086,0.995924813128215,0.00097178041058879
SAUSA300_1110,0.987238904199259,0.00282790158577765
SAUSA300_1119,0.984200419520419,9.1108915305602e-10
SAUSA300_1123,0.99097234007803,3.23187886154574e-12
SAUSA300_1125,0.995324457718071,4.15901543548121e-07
SAUSA300_1130,0.99242667418589,0.000280441265528985
SAUSA300_1138,0.992632368963864,0.0398812710232166
SAUSA300_1139,0.993396676347695,0.00292023736908906
SAUSA300_1147,0.992413388378174,1.77357918203974e-09
SAUSA300_1151,0.994209623527687,6.40761345078168e-07
SAUSA300_1152,0.994336805660658,0.000122159037234066
SAUSA300_1155,0.992864793361451,0.000512214659868033
SAUSA300_1156,0.988661675704394,0.000421951294775566
SAUSA300_1178,0.99090530117588,2.03213154029322e-05
SAUSA300_1182,0.986372783111798,3.67787263071218e-06
SAUSA300_1200,0.997187572068995,1.83305079579239e-07
SAUSA300_1246,0.974157288515312,8.27152632820605e-06
SAUSA300_1269,0.991354254084397,0.000279282925710431
SAUSA300_1316,0.997650260890635,0.00135062479272121
SAUSA300_1328,0.995370073535867,0.215244661101533
SAUSA300_1340,0.995522172945152,0.00294446402537605
SAUSA300_1341,0.99508879007864,3.65219936295372e-06
SAUSA300_1378,0.994739564858233,3.18864759993858e-06
SAUSA300_1470,0.993998055010345,5.06185802232622e-05
SAUSA300_1472,0.992331694170054,0.000133411217657986
SAUSA300_1517,0.99334595262995,0.00859539739487561
SAUSA300_1518,0.991391544605852,0.022380248502938
SAUSA300_1521,0.995406164989357,7.49950875250483e-06
SAUSA300_1533,0.990566223512372,4.79266573855253e-06
SAUSA300_1539,0.997894781609659,0.27547454802532
SAUSA300_1541,0.995101371608591,2.76909621297826e-06
SAUSA300_1542,0.991546971463684,0.000192546493627713
SAUSA300_1556,0.984184976236478,7.1358136370307e-08
SAUSA300_1588,0.994907541839595,0.0211836274699387
SAUSA300_1590,0.975362046496177,3.34068153801058e-06
SAUSA300_1595,0.992106276749606,6.08894313246357e-06
SAUSA300_1619,0.994140338551546,2.04557162418481e-06
SAUSA300_1622,0.993389539364947,3.90408658626693e-06
SAUSA300_1645,0.995383801553815,3.22411891545282e-06
SAUSA300_1649,0.976746474227763,0.000820744381647174
SAUSA300_1666,0.997936659719505,2.30431398799565e-05
SAUSA300_1672,0.983174080440807,0.00131712290577433
SAUSA300_1674,0.992120568307859,5.64111323242974e-06
SAUSA300_1686,0.985934076929246,3.06047829061397e-05
SAUSA300_1704,0.976285881559572,8.49212314340882e-07
SAUSA300_1753,0.998715436021556,0.00896999848740355
SAUSA300_1756,0.998110438933054,0.000188065707059976
SAUSA300_1757,0.998683019473788,0.00170967716046889
SAUSA300_1781,0.978048712869309,5.55375795781455e-08
SAUSA300_1790,0.996395896065135,4.24315962599443e-06
SAUSA300_1792,0.989496392942465,0.000447254820142541
SAUSA300_1818,0.999174184007676,0.361170944295033
SAUSA300_1823,0.999408027096104,0.0638707551455695
SAUSA300_1840,0.997633046900302,3.22962104809451e-05
SAUSA300_1880,0.99304150828543,1.10390670861315e-05
SAUSA300_1885,0.97114684495719,0.00012756749434319
SAUSA300_1919,0.998251640458385,1.00513131253131e-08
SAUSA300_1974,0.99744249436245,0.000543729916408456
SAUSA300_2046,0.996390205028608,3.00143773810555e-05
SAUSA300_2059,0.998892329185599,0.375073827942115
SAUSA300_2064,0.994248072807695,2.03187757396209e-05
SAUSA300_2065,0.99481635166848,0.0013927854734056
SAUSA300_2099,0.994529829531481,8.92884817401595e-05
SAUSA300_2193,0.999195853353646,0.00111365486774018
SAUSA300_2195,0.997124198987282,3.82313651488915e-07
SAUSA300_2235,0.991830162543231,2.06447198164942e-06
SAUSA300_2258,0.9746419684117,0.00048343079702039
SAUSA300_2409,0.999262900795888,0.365502456684169
SAUSA300_2410,0.997876701122196,0.00432693806911935
SAUSA300_2412,0.996382825768245,6.07230636294958e-05
SAUSA300_2484,0.994099919254039,0.00264729460852786
SAUSA300_2567,0.993380640816317,0.0250127903701401
SAUSA300_2579,0.986532849486593,0.00127776248885968
SAUSA300_2639,0.999191109122775,2.15382935050825e-05
SAUSA300_0014,0.989726044361219,0.000113337764354832
SAUSA300_0016,0.987031695421178,1.42852385894163e-07
SAUSA300_0017,0.992162222595396,0.00711534858556811
SAUSA300_0018,0.996477900976625,0.000410789141100021
SAUSA300_0121,0.999797521325117,0.878035849747491
SAUSA300_0125,0.995814721778163,0.0192754413482105
SAUSA300_0141,0.990848943676671,0.00270192854318187
SAUSA300_0151,0.992214879748951,0.18539545216473
SAUSA300_0250,0.998421868859815,0.199779889560903
SAUSA300_0306,0.995613372938856,0.0325541051276666
SAUSA300_0320,0.9901615930527,2.39229521013983e-06
SAUSA300_0389,0.986278672384137,7.7527912481205e-05
SAUSA300_0425,0.994351750126462,0.00379592179696148
SAUSA300_0452,0.991163621267414,0.000294650846799133
SAUSA300_0453,0.99715697752863,0.00407241296581706
SAUSA300_0471,0.99835432513033,0.000483032140945889
SAUSA300_0472,0.997674627608194,0.312590413830633
SAUSA300_0496,0.989393542020233,2.1753804651754e-05
SAUSA300_0536,0.995576980851536,5.98092746378356e-05
SAUSA300_0573,0.991470354095718,6.84445480018332e-05
SAUSA300_0639,0.994872973147998,0.000208704893625407
SAUSA300_0649,0.995460440325661,0.00161853790795433
SAUSA300_0650,0.996586065097743,0.000251014226021391
SAUSA300_0672,0.996548889604515,4.06952233854349e-09
SAUSA300_0673,0.985797497641713,0.000290988192328847
SAUSA300_0746,0.994060135268338,0.0101665960886912
SAUSA300_0747,0.996054795473059,0.0075244365290434
SAUSA300_0818,0.995140520410544,0.0134895829936564
SAUSA300_0820,0.996320000096668,0.017441608382428
SAUSA300_0821,0.995126109288513,7.80489116414102e-05
SAUSA300_0822,0.995011038512807,0.000206849154592036
SAUSA300_0836,0.993867762256472,0.00046713096390986
SAUSA300_0873,0.982367847793835,0.000121717561724143
SAUSA300_0874,0.989758053706059,0.000736354505482962
SAUSA300_0898,0.998460635322981,2.0771045530022e-05
SAUSA300_0919,0.969484836641152,2.5077715651149e-08
SAUSA300_0959,0.990327707995329,4.18189416072958e-06
SAUSA300_0961,0.996962700935881,0.000192367003352289
SAUSA300_0987,0.99372493709952,6.59253965697671e-07
SAUSA300_1003,0.994297338481067,0.00092002753923044
SAUSA300_1009,0.98685447496904,1.29848447980106e-05
SAUSA300_1012,0.993153582944228,5.29530056124577e-05
SAUSA300_1013,0.987119280348778,0.000400598160374729
SAUSA300_1015,0.987751914032326,0.000553224494329246
SAUSA300_1017,0.988469433224221,1.05807248520298e-09
SAUSA300_1029,0.994453741817643,0.0569285533846906
SAUSA300_1044,0.997706490902556,2.79316961989002e-05
SAUSA300_1047,0.988030005847213,0.0201657047008089
SAUSA300_1049,0.999661220518556,0.852451353025336
SAUSA300_1051,0.991833921109838,3.83652692207794e-05
SAUSA300_1082,0.996156738997163,2.36551796776222e-07
SAUSA300_1085,0.992985911146102,5.44590399050871e-05
SAUSA300_1087,0.984568180922402,2.96425289041887e-05
SAUSA300_1095,0.99320103596685,0.0344447744114565
SAUSA300_1096,0.985236188889895,0.000486938113640639
SAUSA300_1101,0.979254195127503,4.32723137002983e-09
SAUSA300_1122,0.991464931010086,0.000891743314506523
SAUSA300_1149,0.999219821003904,2.80096354238847e-07
SAUSA300_1159,0.982031059040825,0.000423342748822454
SAUSA300_1162,0.992462169921504,0.000348296469018408
SAUSA300_1168,0.990903739038019,2.08526503735206e-06
SAUSA300_1174,0.99364683802995,0.000142126381392736
SAUSA300_1175,0.993831892687135,0.00258444626070819
SAUSA300_1189,0.982119707588932,0.000158232098191461
SAUSA300_1232,0.990383232724854,4.33583184190285e-06
SAUSA300_1235,0.991223189184365,0.000555891244805862
SAUSA300_1251,0.977718320452692,3.12243382634554e-10
SAUSA300_1252,0.98866694560023,0.000151000071566391
SAUSA300_1285,0.981957101805898,0.000881311778078283
SAUSA300_1306,0.973297966100366,0.00127653222243031
SAUSA300_1314,0.998035121536937,9.95690721142769e-05
SAUSA300_1329,0.978880744434296,6.34376006358469e-05
SAUSA300_1330,0.999692014102899,0.903247594560766
SAUSA300_1333,0.963148478063735,0.000115505207810273
SAUSA300_1337,0.998315658390891,0.0143756079145185
SAUSA300_1351,0.997431620252358,0.000617053381926305
SAUSA300_1363,0.994747499504672,0.000178576817792087
SAUSA300_1364,0.990371196184845,0.00191673913891228
SAUSA300_1370,0.986352755308871,0.000148369831536093
SAUSA300_1374,0.993679934888213,0.000137970835228641
SAUSA300_1444,0.996907530545556,0.00999685553814305
SAUSA300_1454,0.992722975510907,0.00288741091743779
SAUSA300_1467,0.983292101923813,1.97335680023303e-05
SAUSA300_1468,0.986812877695018,0.00176909591359537
SAUSA300_1513,0.996089159366264,9.41976103554198e-05
SAUSA300_1522,0.991369158181825,1.17622354788938e-05
SAUSA300_1525,0.989009828350047,2.08394288557263e-05
SAUSA300_1527,1.00015069672863,0.906542327127222
SAUSA300_1545,0.995029125741047,5.99792503699153e-14
SAUSA300_1568,0.994647910094617,0.00144747962710112
SAUSA300_1570,0.990976366076143,0.00124914916126833
SAUSA300_1575,0.985403265359723,0.00047611953400012
SAUSA300_1596,0.99296876090963,0.000202147114154895
SAUSA300_1597,0.989182816840354,2.69645427252188e-07
SAUSA300_1618,0.993858610879581,0.00285387948658385
SAUSA300_1644,0.995000739333768,8.61191140370672e-05
SAUSA300_1647,0.994665412493117,5.23720905978355e-05
SAUSA300_1664,0.992558644267894,0.00255607558036491
SAUSA300_1687,0.987275548982132,2.58251547542743e-06
SAUSA300_1688,0.999430793665331,0.738576273803559
SAUSA300_1700,0.985356037850398,3.63077979702249e-09
SAUSA300_1720,0.994379983025006,0.000405767592667893
SAUSA300_1730,0.991419552462872,3.51482836715242e-09
SAUSA300_1783,0.984618124176301,6.29556270381514e-09
SAUSA300_1832,0.996628309519627,0.000204442053994112
SAUSA300_1835,0.999362667123254,0.216738217140349
SAUSA300_1975,0.99639260569744,4.46980919817161e-06
SAUSA300_2022,0.992699191608853,0.000233664097226506
SAUSA300_2055,0.987481096401196,2.12400019258791e-05
SAUSA300_2067,0.989060696977724,2.52102866429452e-05
SAUSA300_2068,0.996292106783484,0.02774359504691
SAUSA300_2075,0.983708180862715,1.78968320100785e-08
SAUSA300_2082,0.988102106025651,4.79419390344215e-10
SAUSA300_2092,0.99822748163145,9.31263755613651e-07
SAUSA300_2119,0.99938390600136,0.292244425554718
SAUSA300_2144,0.997359240179257,0.00444361908244467
SAUSA300_2147,0.975115492452681,2.14030759038672e-06
SAUSA300_2165,0.994041424776181,0.00487234826824742
SAUSA300_2166,0.991000801286575,0.00690666558011384
SAUSA300_2181,0.999058390518932,0.000374604981710267
SAUSA300_2182,0.998352336191436,6.21748096206179e-05
SAUSA300_2186,0.997793342941778,0.000253977221042219
SAUSA300_2199,0.996765148542858,0.0470781811904264
SAUSA300_2205,0.999002027662476,0.000116118599147965
SAUSA300_2207,0.995194947253544,0.0127921134289571
SAUSA300_2249,0.996249558916031,6.8036489577135e-06
SAUSA300_2251,0.992584226588917,0.000357489966412361
SAUSA300_2329,0.995337161459624,4.20600740402614e-06
SAUSA300_2360,0.988595887471496,0.000619312004061536
SAUSA300_2366,0.995803846979108,0.0438599440592344
SAUSA300_2385,0.976388233503432,3.65285018991698e-05
SAUSA300_2408,0.996035298722688,0.000522948226833379
SAUSA300_2413,0.996403352452682,0.00218396674510334
SAUSA300_2414,0.996556134331177,3.01714687602237e-05
SAUSA300_2433,0.990229297419029,0.206465940957042
SAUSA300_2440,0.992055985486345,1.14539241683678e-06
SAUSA300_2441,0.994793269729163,1.52380163028489e-05
SAUSA300_2477,0.987494486705599,2.64132958718175e-06
SAUSA300_2486,0.992615463691842,0.000220999145300228
SAUSA300_2526,0.993542780094216,0.0232210852179439
SAUSA300_2540,0.995833171640801,0.000816710563429631
SAUSA300_2550,0.997504094382003,0.166992146640277
SAUSA300_2554,0.972081154370029,0.000212985802544521
SAUSA300_2578,0.966141281109408,2.40986504400668e-05
SAUSA300_2622,0.991178379484228,1.67954140715294e-08
SAUSA300_0013,0.986399257424631,8.07308912131036e-06
SAUSA300_0020,0.995146502269924,0.047537520696919
SAUSA300_0023,0.988600521054304,3.5530650962045e-06
SAUSA300_0099,0.998507849670727,0.776934323505852
SAUSA300_0107,0.962085823258374,2.37208222868464e-05
SAUSA300_0112,0.96453801893498,0.00484839949860874
SAUSA300_0117,0.989458953505214,0.00259853074914034
SAUSA300_0118,0.998099863440454,0.514020006825678
SAUSA300_0119,0.983682675529035,0.000149435809097402
SAUSA300_0120,0.995413682656878,0.352278831917151
SAUSA300_0122,0.986393302739971,0.000631671287323141
SAUSA300_0123,0.98104835896795,0.00363383998539978
SAUSA300_0124,0.993342211510203,0.0611084460720935
SAUSA300_0126,0.995290034876369,0.0599708453161208
SAUSA300_0140,1.00050333107546,0.626670433004377
SAUSA300_0207,0.992055125080292,0.0001979928949716
SAUSA300_0248,0.98979519622897,0.00169710286837425
SAUSA300_0249,0.992403370388309,0.0350133169302519
SAUSA300_0251,0.991447374561674,3.00381071136397e-05
SAUSA300_0288,0.988009714188715,0.200191629111332
SAUSA300_0324,1.0004655446745,0.862269346056669
SAUSA300_0349,0.98558257291819,6.1239175486814e-06
SAUSA300_0364,0.979182378773866,7.16975851746972e-07
SAUSA300_0409,0.993574228884807,1.29318447738031e-05
SAUSA300_0429,0.985182512815362,1.05592808898471e-05
SAUSA300_0432,0.990053329233962,0.00139719751487645
SAUSA300_0454,0.99529802859402,0.00447974484067493
SAUSA300_0467,0.9656690689743,3.90892458219539e-06
SAUSA300_0473,0.996712624289686,0.0610441652188734
SAUSA300_0491,0.993649541409317,4.05376783905266e-06
SAUSA300_0498,0.999365143367187,0.0250318071666199
SAUSA300_0506,0.991598010256827,0.180793644041558
SAUSA300_0517,0.989784808795572,0.0176773614301683
SAUSA300_0520,0.995177671315733,0.000275140005894189
SAUSA300_0525,0.99703220259906,0.00133549491932468
SAUSA300_0535,0.991644203938949,0.16100880448891
SAUSA300_0544,0.970389647965922,2.90496892656164e-05
SAUSA300_0548,0.948350809863816,0.000525958308393876
SAUSA300_0552,0.996274434102745,0.00363991477168241
SAUSA300_0558,0.993618970370394,0.0593449870532696
SAUSA300_0570,0.991153089312913,0.00424645899803625
SAUSA300_0594,0.988407285227324,0.00181606344845481
SAUSA300_0596,0.964606636403359,2.45954933621524e-06
SAUSA300_0630,0.976270615231018,0.000843601542758513
SAUSA300_0651,0.996284665154994,0.00554215640988213
SAUSA300_0655,0.992231131311147,0.0407727362986902
SAUSA300_0659,0.975259779906652,0.000373202004031186
SAUSA300_0681,0.991086810507901,7.70024446574145e-07
SAUSA300_0687,0.990525243084678,0.00416439707577902
SAUSA300_0692,0.997852328073637,2.47766021530181e-07
SAUSA300_0695,0.989341279495319,0.00110928884193524
SAUSA300_0696,0.996611766006314,3.90402423800178e-05
SAUSA300_0741,0.984498900663787,0.058745158277646
SAUSA300_0750,0.998776338740395,0.330426053108507
SAUSA300_0763,0.992762407012259,0.00160029959888935
SAUSA300_0819,0.988430734239921,1.03157221235975e-05
SAUSA300_0827,0.993284435240076,0.000145486309314046
SAUSA300_0837,0.988653674458938,8.08017173336397e-06
SAUSA300_0838,0.989852818142304,5.82019772380312e-05
SAUSA300_0855,0.985067674364432,1.05883971000131e-05
SAUSA300_0858,0.991889148395884,0.00338846928360436
SAUSA300_0870,0.977219720869514,0.0130413115996807
SAUSA300_0886,0.977214156784455,3.81001822089686e-06
SAUSA300_0899,0.99553204448554,0.000159547770274718
SAUSA300_0917,0.996921371924868,0.245231512167451
SAUSA300_0921,0.98713272807956,0.000438323989184578
SAUSA300_0924,0.991270930830128,0.0132373811560702
SAUSA300_0931,0.997137538105288,0.00188638252589782
SAUSA300_0945,0.988508747509962,0.00195334670600578
SAUSA300_0957,0.995212152532973,0.000100086555111542
SAUSA300_0981,0.996252989935239,0.119327701163539
SAUSA300_0983,0.997950701995438,0.144609710136286
SAUSA300_0988,0.99585020517594,1.21234387113213e-05
SAUSA300_1002,0.989644944270704,0.00567698966480632
SAUSA300_1032,0.988372898697906,0.002641487876027
SAUSA300_1043,0.979910172927405,0.00204196828948654
SAUSA300_1048,0.993335165335632,0.00043583920616056
SAUSA300_1055,0.995046033507695,0.000317544992080574
SAUSA300_1064,0.998964813907716,0.80472411916346
SAUSA300_1074,0.995241773925839,0.00123178478457838
SAUSA300_1077,0.989917458436897,0.000330665362146632
SAUSA300_1092,0.991230686224664,0.0744511366966241
