	16_S3	17_S4	18_S1	19_S2	21_S3	23_S3	24_S2	27_S1	28_S4	30_S3	34_S1	35_S4	36_S1	38_S2	40_S2	42_S3	44_S3	45_S1	46_S4	47_S4	51_S2	54_S4	5_S1	8_S2
cbiO	0.00	0.00	0.00	0.00	0.00	88.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ccrA	0.00	0.00	0.00	0.00	0.00	0.00	46.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ccrB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00
cdd	0.00	0.00	175.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	87.00	0.00	0.00	0.00
cdr	0.00	0.00	35.00	0.00	0.00	20.00	54.00	29.00	57.00	0.00	0.00	0.00	32.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
cdsA	0.00	0.00	0.00	0.00	0.00	31.00	107.00	54.00	0.00	0.00	0.00	0.00	26.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	202.00	0.00	0.00	0.00
cidA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
cidB	0.00	0.00	0.00	0.00	0.00	3.00	85.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
cidC	0.00	0.00	0.00	0.00	0.00	29.00	81.00	0.00	58.00	0.00	0.00	0.00	61.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	95.00	0.00	0.00	0.00
cinA	0.00	0.00	0.00	0.00	0.00	0.00	35.00	0.00	0.00	0.00	0.00	0.00	28.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.00	0.00	0.00	0.00
clfB	0.00	0.00	32.00	0.00	0.00	351.00	120.00	189.00	94.00	0.00	0.00	0.00	164.00	21.00	0.00	0.00	0.00	0.00	0.00	60.00	278.00	0.00	57.00	0.00
clpB	0.00	0.00	0.00	0.00	0.00	0.00	11.00	72.00	15.00	0.00	0.00	0.00	23.00	49.00	0.00	0.00	0.00	0.00	3.00	0.00	12.00	0.00	20.00	0.00
