	16_S3	17_S4	18_S1	19_S2	21_S3	23_S3	24_S2	27_S1	28_S4	30_S3	34_S1	35_S4	36_S1	38_S2	40_S2	42_S3	44_S3	45_S1	46_S4	47_S4	51_S2	54_S4	5_S1	8_S2
fni	0.00	0.00	0.00	0.00	0.00	68.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	103.00	0.00	0.00	0.00
folA	0.00	0.00	0.00	0.00	0.00	0.00	152.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	67.00	0.00	0.00	0.00
folB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
folK	0.00	0.00	0.00	0.00	0.00	121.00	0.00	75.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	91.00	0.00	0.00	0.00
folP	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	0.00	38.00	0.00
fosB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
frp	0.00	0.00	0.00	0.00	0.00	35.00	0.00	0.00	44.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
frr	0.00	0.00	149.00	0.00	0.00	159.00	117.00	145.00	50.00	0.00	0.00	0.00	33.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	112.00	0.00	0.00	0.00
ftsK	0.00	0.00	21.00	0.00	0.00	61.00	79.00	67.00	11.00	0.00	0.00	0.00	31.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	54.00	0.00	0.00	0.00
ftsY	0.00	0.00	0.00	0.00	0.00	38.00	18.00	0.00	33.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	54.00	0.00
fur	0.00	0.00	0.00	0.00	0.00	0.00	68.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00	0.00
galM	0.00	0.00	0.00	0.00	0.00	0.00	27.00	51.00	39.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	0.00	0.00	0.00
galU	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gcvT	0.00	0.00	0.00	0.00	0.00	0.00	30.00	0.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00
ggt	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gid	0.00	0.00	0.00	0.00	0.00	40.00	140.00	54.00	22.00	0.00	0.00	0.00	44.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	164.00	0.00	14.00	0.00
gidA	0.00	0.00	0.00	0.00	0.00	37.00	28.00	28.00	38.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00
gidB	0.00	0.00	0.00	0.00	0.00	155.00	66.00	138.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	37.00	0.00	0.00	0.00
glcU	0.00	0.00	0.00	0.00	0.00	0.00	137.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	48.00	0.00	0.00	0.00
glk	0.00	0.00	0.00	0.00	0.00	82.00	17.00	33.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.00	0.00	81.00	0.00
glmM	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	22.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	0.00	0.00
glmS	0.00	0.00	0.00	0.00	0.00	61.00	83.00	0.00	26.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00
glmU	0.00	0.00	0.00	0.00	0.00	25.00	0.00	0.00	34.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.00	0.00	17.00	0.00
glnA	0.00	0.00	17.00	0.00	0.00	144.00	277.00	305.00	424.00	0.00	0.00	0.00	147.00	41.00	0.00	0.00	0.00	0.00	0.00	32.00	220.00	0.00	0.00	0.00
glnR	0.00	0.00	0.00	0.00	0.00	224.00	278.00	408.00	413.00	0.00	0.00	0.00	23.00	8.00	0.00	0.00	0.00	0.00	0.00	0.00	257.00	0.00	0.00	0.00
glpD	0.00	0.00	34.00	71.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	0.00	53.00	0.00
glpF	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.00	0.00	0.00	0.00
glpK	0.00	0.00	0.00	0.00	0.00	0.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
glpP	0.00	0.00	0.00	0.00	0.00	47.00	156.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	48.00	0.00	0.00	0.00
glpQ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gltB	0.00	0.00	33.00	0.00	0.00	0.00	17.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gltC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gltD	0.00	0.00	15.00	0.00	0.00	0.00	0.00	34.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gltS	0.00	0.00	0.00	0.00	0.00	37.00	14.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gltT	0.00	0.00	0.00	0.00	0.00	223.00	258.00	67.00	176.00	0.00	0.00	0.00	11.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	114.00	0.00	0.00	0.00
gltX	0.00	0.00	0.00	0.00	0.00	30.00	60.00	69.00	18.00	0.00	0.00	0.00	30.00	56.00	0.00	0.00	0.00	0.00	0.00	0.00	14.00	0.00	0.00	0.00
glvC	0.00	0.00	0.00	0.00	0.00	0.00	15.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
glyA	0.00	0.00	0.00	0.00	0.00	86.00	84.00	29.00	51.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	92.00	0.00	44.00	0.00
glyS	0.00	0.00	0.00	0.00	0.00	57.00	81.00	12.00	112.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	63.00	0.00	0.00	0.00
gmk	0.00	0.00	0.00	0.00	0.00	84.00	241.00	0.00	34.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	229.00	0.00	29.00	0.00
gnd	0.00	0.00	0.00	0.00	0.00	52.00	88.00	0.00	41.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	148.00	0.00	0.00	0.00
gntK	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.00	0.00	29.00	0.00
gntP	0.00	0.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gntR	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gpmA	0.00	0.00	0.00	0.00	0.00	0.00	126.00	53.00	86.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	124.00	0.00	0.00	0.00
gpsA	0.00	0.00	0.00	0.00	0.00	236.00	26.00	120.00	107.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	121.00	0.00	69.00	0.00
grpE	0.00	0.00	0.00	0.00	0.00	244.00	80.00	57.00	257.00	0.00	0.00	1.00	79.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	108.00	0.00	0.00	0.00
guaA	0.00	0.00	0.00	0.00	0.00	39.00	25.00	107.00	23.00	0.00	0.00	0.00	18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.00	0.00	0.00	0.00
guaC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gudB	0.00	0.00	29.00	0.00	0.00	0.00	48.00	0.00	10.00	0.00	0.00	0.00	72.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gutB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gyrA	0.00	0.00	45.00	0.00	0.00	67.00	18.00	72.00	9.00	0.00	0.00	0.00	13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00	0.00	10.00	0.00
gyrB	20.00	0.00	0.00	51.00	0.00	83.00	93.00	100.00	36.00	0.00	0.00	0.00	12.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	69.00	0.00
hfq	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hisA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00
hisB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hisC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hisD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	58.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hisF	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00	0.00	0.00	0.00
hisG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hisH	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hisIE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hisZ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hlgA	0.00	0.00	0.00	43.00	0.00	0.00	0.00	0.00	59.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hlgB	0.00	0.00	0.00	0.00	0.00	86.00	194.00	137.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	84.00	0.00	0.00	0.00
hlgC	0.00	0.00	32.00	101.00	0.00	71.00	14.00	39.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	194.00	0.00	0.00	0.00
holA	0.00	0.00	0.00	0.00	0.00	85.00	32.00	0.00	42.00	0.00	0.00	0.00	22.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
holB	0.00	0.00	0.00	0.00	0.00	87.00	35.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.00	0.00	80.00	0.00
hpt	0.00	0.00	0.00	0.00	0.00	33.00	85.00	0.00	31.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	0.00	0.00
hrcA	0.00	0.00	0.00	0.00	0.00	67.00	56.00	94.00	98.00	0.00	0.00	3.00	0.00	96.00	0.00	0.00	0.00	0.00	0.00	0.00	82.00	0.00	0.00	0.00
hsdM	0.00	0.00	0.00	0.00	0.00	59.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00
hsdR	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.00	5.00	0.00	11.00	0.00
hslO	0.00	0.00	0.00	0.00	0.00	20.00	63.00	108.00	24.00	0.00	0.00	0.00	55.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	234.00	0.00	0.00	0.00
hslU	0.00	0.00	0.00	0.00	0.00	83.00	159.00	71.00	170.00	0.00	0.00	0.00	109.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	85.00	0.00	35.00	0.00
hslV	0.00	0.00	215.00	163.00	0.00	39.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29.00	0.00	0.00	0.00
htrA	0.00	0.00	25.00	0.00	0.00	0.00	5.00	0.00	13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	48.00	0.00	0.00	0.00
hup	0.00	0.00	204.00	0.00	0.00	643.00	1947.00	243.00	1113.00	3.00	0.00	0.00	864.00	232.00	0.00	0.00	0.00	0.00	0.00	687.00	1009.00	0.00	0.00	0.00
hutG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hutH	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hutI	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hutU	0.00	0.00	0.00	0.00	0.00	0.00	14.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.00	0.00
hysA	0.00	0.00	0.00	0.00	0.00	11.00	0.00	0.00	11.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00
icaA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
icaB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
icaC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ilvA	0.00	0.00	0.00	29.00	0.00	0.00	7.00	1.00	55.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	32.00	0.00	185.00	0.00
infA	0.00	0.00	0.00	0.00	0.00	893.00	199.00	366.00	163.00	0.00	0.00	0.00	246.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	170.00	0.00	0.00	0.00
infB	0.00	0.00	8.00	0.00	0.00	48.00	63.00	0.00	63.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	180.00	0.00	0.00	0.00
ipdC	0.00	0.00	0.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ipk	0.00	0.00	96.00	0.00	0.00	58.00	70.00	0.00	68.00	0.00	0.00	0.00	0.00	170.00	0.00	0.00	0.00	0.00	0.00	0.00	35.00	0.00	0.00	0.00
isaA	0.00	0.00	101.00	0.00	0.00	772.00	1801.00	253.00	1298.00	0.00	0.00	0.00	227.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	834.00	0.00	34.00	0.00
isaB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ispD	0.00	0.00	0.00	0.00	0.00	49.00	67.00	0.00	71.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	82.00	0.00
kdpA	0.00	0.00	15.00	0.00	0.00	13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
kdpB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
kdpC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
kdpD	0.00	0.00	9.00	0.00	0.00	16.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00
kdpE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	32.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ksgA	0.00	0.00	0.00	0.00	0.00	52.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lacA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lacB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lacC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lacD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lacE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lacF	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lacG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lctP	0.00	0.00	20.00	0.00	0.00	19.00	15.00	18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	0.00	0.00	0.00
lepA	0.00	0.00	49.00	0.00	0.00	92.00	27.00	85.00	28.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	80.00	0.00	37.00	0.00
lip	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lipA	0.00	0.00	0.00	0.00	0.00	68.00	70.00	26.00	27.00	0.00	0.00	0.00	76.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	173.00	0.00	28.00	3.00
lpdA	0.00	0.00	19.00	0.00	0.00	52.00	41.00	67.00	0.00	0.00	0.00	0.00	51.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	0.00	0.00	0.00
lpl3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lukF-PV	0.00	0.00	323.00	68.00	0.00	1232.00	2312.00	508.00	739.00	0.00	0.00	0.00	165.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	894.00	0.00	0.00	0.00
lukS-PV	0.00	0.00	390.00	188.00	0.00	1346.00	1450.00	371.00	519.00	0.00	0.00	0.00	88.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1239.00	0.00	0.00	0.00
luxS	0.00	0.00	0.00	0.00	0.00	0.00	17.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lysA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lysS	0.00	0.00	0.00	0.00	0.00	37.00	11.00	58.00	89.00	0.00	0.00	0.00	21.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	123.00	0.00	0.00	0.00
lytM	0.00	0.00	0.00	0.00	0.00	0.00	87.00	0.00	44.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	96.00	0.00	0.00	0.00
lytN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
malR	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	51.00	0.00
manA	0.00	0.00	0.00	0.00	0.00	47.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
metB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47.00	0.00	0.00	0.00
metS	0.00	0.00	0.00	0.00	0.00	27.00	21.00	31.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.00	0.00	0.00	0.00
mfd	0.00	0.00	14.00	0.00	0.00	26.00	40.00	18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	34.00	0.00	8.00	0.00
mgtE	0.00	0.00	0.00	0.00	0.00	41.00	13.00	19.00	23.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
miaA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
miaB	0.00	0.00	0.00	0.00	0.00	12.00	25.00	22.00	49.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00
mnhA	0.00	0.00	0.00	0.00	0.00	12.00	73.00	68.00	42.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	56.00	0.00	0.00	0.00
mnhB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	49.00	0.00	0.00	0.00
mnhC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mnhD	0.00	0.00	22.00	0.00	0.00	76.00	105.00	0.00	42.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mnhE	0.00	0.00	0.00	0.00	0.00	0.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mnhF	0.00	0.00	93.00	0.00	0.00	82.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mnhG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	79.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
moaA	0.00	0.00	0.00	0.00	0.00	25.00	0.00	0.00	21.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.00	0.00	0.00	0.00
moaB	0.00	0.00	0.00	0.00	0.00	37.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
moaC	0.00	0.00	0.00	0.00	0.00	65.00	55.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
moaD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	104.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
